game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Just Cause 4,12/4/2018,4/16/2020,4/23/2020,68.0,Square Enix,"Square Enix, Avalanche Studios",
Close to the Sun,5/2/2019,4/9/2020,4/16/2020,66.0,Wired Productions,Storm in a Teacup,
Sherlock Holmes: Crimes and Punishments,9/30/2014,4/9/2020,4/16/2020,77.0,"Focus Home Interactive, Frogwares",Frogwares,
Drawful 2,6/20/2016,4/2/2020,4/9/2020,74.0,Jackbox Games,Jackbox Games,
Gone Home,8/14/2013,4/2/2020,4/9/2020,86.0,"Annapurna Interactive, Majesco Entertainment, The Fullbright Company",The Fullbright Company,
Hob,9/25/2017,4/2/2020,4/9/2020,,Runic Games,Runic Games,
Totally Reliable Delivery Service,4/1/2020,4/1/2020,4/8/2020,56.0,tinyBuild,We're Five Games,
World War Z,4/16/2019,3/26/2020,4/2/2020,70.0,Focus Home Interactive,Saber Interactive,
Tormentor x Punisher,6/2/2017,3/26/2020,4/2/2020,,Raw Fury,"4EversGames, E-Studio",
Figment,9/21/2017,3/26/2020,4/2/2020,,"4EversGames, Bedtime Digital Games",Bedtime Digital Games,
The Stanley Parable,10/17/2013,3/19/2020,3/26/2020,88.0,Galactic Cafe,Galactic Cafe,
Watch Dogs,5/27/2014,3/19/2020,3/26/2020,77.0,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal",
Mutazione,9/19/2019,3/12/2020,3/19/2020,,"Akupara Games, Die Gute Fabrik, Die Gute Fabrik ApS",Die Gute Fabrik,
A Short Hike,7/29/2019,3/12/2020,3/19/2020,84.0,adamgryu,adamgryu,
Anodyne 2: Return to Dust,8/12/2019,3/12/2020,3/19/2020,,Analgesic Productions,"Joni Kittaka, Sean Han Tani, Analgesic Productions",
GoNNER,10/12/2016,3/5/2020,3/12/2020,81.0,Raw Fury,Art in Heart,
InnerSpace,1/16/2018,2/27/2020,3/5/2020,,Aspyr,"Aspyr Media, PolyKnight Games",
Assassin’s Creed Syndicate,10/23/2015,2/20/2020,2/27/2020,74.0,Ubisoft Entertainment,"Ubisoft Montreal, Ubisoft Quebec, Ubisoft Singapore",
Faeria,3/8/2017,2/20/2020,2/27/2020,80.0,"Versus Evil, Abrakam","Abrakam, Abrakam Entertainment",
Aztez,8/1/2017,2/13/2020,2/20/2020,81.0,Team Colorblind,Team Colorblind,
Carcassonne,6/4/2010,2/6/2020,2/13/2020,63.0,"Asmodee Digital, TheCodingMonkeys","Plug In Digital, Asmodee Digital, Frima Studio, TheCodingMonkeys",
Ticket to Ride,12/18/2009,2/6/2020,2/13/2020,91.0,"Microsoft Studios, Asmodee Digital, Days of Wonder, Marmalade Game Studio","Plug In Digital, Asmodee Digital, Days of Wonder, Marmalade Game Studio, Next Level Games",
Farming Simulator 19,11/19/2018,1/30/2020,2/6/2020,,Focus Home Interactive,"Focus Home Interactive, Giants Software",
Horace,7/17/2019,1/16/2020,1/23/2020,82.0,505 Games,"Sean Scaplehorn, Paul Helman",
Sundered: Eldritch Edition,6/7/2020,1/9/2020,1/16/2020,,,Thunder Lotus,
Darksiders II,8/14/2012,1/1/2020,1/9/2020,83.0,THQ,"THQ Nordic, Vigil Games",
Darksiders,1/27/2010,1/1/2020,1/9/2020,83.0,"THQ Nordic, THQ","THQ, Vigil Games",
Steep,12/2/2016,1/1/2020,1/9/2020,72.0,Ubisoft Entertainment,"Ubisoft, Ubisoft Montpellier, Ubisoft Annecy, Ubisoft Kiev",
Hello Neighbor,8/28/2017,12/30/2019,12/31/2019,40.0,tinyBuild,"tinyBuild, Dynamic Pixels",
The Talos Principle,12/11/2014,12/29/2019,12/30/2019,85.0,"Devolver Digital, GHI Media, Croteam","Devolver Digital, Croteam",
Hyper Light Drifter,3/30/2016,12/27/2019,12/28/2019,84.0,"Abylight, Heart Machine","Heart Machine, Abylight",
FTL: Faster Than Light,9/14/2012,12/26/2019,12/27/2019,84.0,Subset Games,Subset Games,
Totally Accurate Battle Simulator,4/1/2021,12/25/2019,12/26/2019,,Landfall,Landfall,
Celeste,1/25/2018,12/24/2019,12/25/2019,91.0,Matt Makes Games,"Matt Makes Games, Extremely OK Games, Noel",
Ape Out,2/28/2019,12/23/2019,12/24/2019,84.0,Devolver Digital,"Devolver Digital, Gabe Cuzzillo, Gabe Cuzillo",
Little Inferno,11/17/2012,12/22/2019,12/23/2019,68.0,"Tomorrow, Experimental Gameplay Group","Tomorrow, Experimental Gameplay Group",
Superhot,2/24/2016,12/21/2019,12/22/2019,82.0,"SUPERHOT Team, SUPERHOT","SUPERHOT Team, SUPERHOT",
TowerFall Ascension,6/25/2013,12/20/2019,12/21/2019,87.0,Matt Makes Games,"Matt Makes Games, Matt Thorson",
The Wolf Among Us,10/10/2013,12/12/2019,12/19/2019,82.0,Telltale Games,Telltale Games,
Rayman Legends,8/29/2013,11/29/2019,12/6/2019,89.0,Ubisoft Entertainment,"Ubisoft, Ubisoft Montpellier",
Bad North,11/16/2016,11/21/2019,11/29/2019,70.0,Raw Fury,"Raw Fury, Plausible concept",
The Messenger,8/30/2018,11/14/2019,11/21/2019,84.0,Devolver Digital,Sabotage,
Nuclear Throne,12/4/2015,11/7/2019,11/14/2019,,Vlambeer,Vlambeer,
Ruiner,9/26/2017,11/7/2019,11/14/2019,78.0,Devolver Digital,"Devolver Digital, Reikon Games",
Costume Quest,10/19/2010,10/31/2019,11/7/2019,,"THQ Nordic, THQ, Double Fine Productions","THQ Nordic, Double Fine Productions",
SOMA,9/21/2015,10/31/2019,11/7/2019,84.0,Frictional Games,Frictional Games,
Q.U.B.E. 2,3/13/2018,10/24/2019,10/31/2019,75.0,"Trapped Nerve Games, TrappedNerveGames","Toxic Games, Trapped Nerve Games",
Layers of Fear,2/16/2016,10/24/2019,10/31/2019,72.0,"Aspyr, Bloober Team","Bloober Team, Anshar Studios",
Observer,8/14/2017,10/17/2019,10/24/2019,77.0,"Aspyr, Bloober Team, Observer Studio","Bloober Team, Observer Studio",
Alan Wake’s American Nightmare,2/22/2012,10/17/2019,10/24/2019,73.0,"Microsoft Studios, THQ Nordic, Remedy Entertainment",Remedy Entertainment,
Everything,3/21/2017,9/26/2019,10/3/2019,76.0,"Double Fine Productions, David OReilly","David O'Reilly, David OReilly",
Batman: Arkham Knight,6/23/2015,9/19/2019,9/26/2019,81.0,Warner Bros. Interactive,Rocksteady Studios,
Batman: Arkham City,10/18/2011,9/19/2019,9/26/2019,94.0,Warner Bros. Interactive,Rocksteady Studios,
Batman: Arkham Asylum,8/25/2009,9/19/2019,9/26/2019,91.0,"Square Enix, Feral Interactive, Eidos Interactive",Rocksteady Studios,
LEGO Batman 3: Beyond Gotham,11/10/2014,9/19/2019,9/26/2019,75.0,"Feral Interactive, Warner Bros. Interactive, WB Games","Feral Interactive, Warner Bros. Interactive, Traveller's Tales, TT Games",
LEGO Batman 2: DC Super Heroes,6/19/2012,9/19/2019,9/26/2019,75.0,"Feral Interactive, Warner Bros. Interactive","Traveller's Tales, TT Fusion",
LEGO Batman: The Videogame,9/23/2008,9/19/2019,9/26/2019,80.0,"Feral Interactive, Warner Bros. Interactive","Traveller's Tales, TT Fusion",
Conarium,6/6/2017,9/12/2019,9/19/2019,73.0,Iceberg Interactive,Zoetrope Interactive,
The End Is Nigh,7/12/2017,9/5/2019,9/12/2019,83.0,"Nicalis, Edmund McMillen, Tyler Glaiel","Nicalis, Edmund McMillen, Tyler Glaiel",
Fez,4/13/2012,8/22/2019,8/29/2019,91.0,"Microsoft Studios, Trapdoor, Corporation Polytron, Polytron",POLYTRON,
GNOG,5/2/2017,8/8/2019,8/15/2019,76.0,"Double Fine Productions, KO-OP MODE","KO_OP, KO-OP MODE",
For Honor,2/13/2017,8/2/2019,8/9/2019,76.0,Ubisoft Entertainment,"Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Quebec, Blue Byte",
Alan Wake,5/14/2010,8/2/2019,8/9/2019,83.0,"Microsoft Studios, THQ Nordic, Remedy Entertainment",Remedy Entertainment,
Moonlighter,5/28/2018,7/25/2019,8/2/2019,82.0,11 bit studios,"11 Bit Studios, Digital Sun",
This War of Mine,11/14/2014,7/25/2019,8/2/2019,83.0,11 bit studios,11 Bit Studios,
Torchlight,10/26/2009,7/11/2019,7/18/2019,83.0,"Microsoft Studios, Perfect World Entertainment, JoWooD Entertainment, Runic Games",Runic Games,
Last Day of June,8/30/2017,6/27/2019,7/4/2019,79.0,505 Games,"505 Games, Ovosonico",
RiME,5/25/2017,5/23/2019,5/30/2019,78.0,"Tequila Works, Grey Box, Grey Box - Six Foot","QLOC, Tequila Works, Grey Box",
Stories Untold,2/26/2017,5/16/2019,5/30/2019,81.0,Devolver Digital,No Code,
World of Goo,10/13/2008,5/2/2019,5/16/2019,90.0,"Tomorrow, 2D BOY",2D BOY,
Transistor,5/20/2014,4/18/2019,5/2/2019,83.0,Supergiant Games,Supergiant Games,
The Witness,1/25/2016,4/4/2019,4/18/2019,87.0,"Thekla, Number None","NVIDIA Lightspeed Studios, Number None, Thekla",
Oxenfree,1/14/2016,3/21/2019,4/4/2019,80.0,"Night School Studio, Night School Studios, Night School","Night School Studio, Night School Studios",
Slime Rancher,1/14/2016,3/7/2019,3/21/2019,81.0,Monomi Park,Monomi Park,
Thimbleweed Park,3/29/2017,2/22/2019,3/7/2019,84.0,Terrible Toybox,Terrible Toybox,
Axiom Verge,3/31/2015,2/7/2019,2/22/2019,80.0,Thomas Happ Games,Thomas Happ Games,
The Jackbox Party Pack,11/18/2014,1/24/2019,2/7/2019,77.0,"Telltale Games, Jackbox Games",Jackbox Games,
What Remains of Edith Finch,4/23/2017,1/11/2019,1/24/2019,89.0,Annapurna Interactive,"Annapurna Interactive, Giant Sparrow",
Super Meat Boy,10/20/2010,12/28/2018,1/10/2019,87.0,"Microsoft Studios, BlitWorks","NVIDIA Lightspeed Studios, Team Meat",
Subnautica,1/23/2018,12/12/2018,12/27/2018,83.0,Unknown Worlds Entertainment,Unknown Worlds Entertainment,
Chilvalry 2,2021-06-08,"December 31, 2025",,78,"Deep Silver, Tripwire Interactive, Tripwire Presents",Torn Banner Studios,PC
Trine Classic Collection,2019-10-07,"December 30, 2025",,,"Frozenbyte, Modus Games",Frozenbyte,PC
Viewfinder,2023-07-17,"December 29, 2025",,,Thunderful Publishing,Sad Owl Studios,PC
Skald: Against the Black Priory,2021-08-02,"December 28, 2025",,,"Raw Fury, Scape-IT","Scape-IT, High North Studios AS",PC
Cassette Beasts,4/1/2023,"December 27, 2025",,83.0,Raw Fury,Bytten Studio,PC
We Were Here Together,2019-10-10,"December 26, 2025",,70,Total Mayhem Games,Total Mayhem Games,PC
Disco Elysium,2019-10-14,"December 25, 2025",,91,,ZA/UM,PC
Bloodstained: Ritual of the Night,6/1/2019,"December 23, 2025",,84.0,505 Games,"505 Games, Armature Studio, Inti Creates, ArtPlay, Dico",PC
Paradise Killer,9/1/2020,"December 22, 2025",,81.0,Fellow Traveller,Kaizen Game Works,PC
Sorry We're Closed,2024-11-14,"December 21, 2025",,,Akupara Games,"à la mode, à la mode games",PC
Blood West,2023-12-05,"December 20, 2025",,,Hyperstrange,Hyperstrange,PC
Eternights,2023-09-12,"December 19, 2025",,,Studio Sai,Studio Sai,PC
Jotunnslayer: Hordes of Hel,2025-01-20,"December 18, 2025",,,Grindstone,"Games Farm, ARTillery",PC
Hogwarts Legacy,2/1/2023,"December 11, 2025",,84.0,"Warner Bros. Interactive, Wizarding World","Avalanche Software, Portkey Games",PC
The Darkside Detective,2017-07-26,"December 4, 2025",,73,"Spooky Doorway, Isometric Dreams",Spooky Doorway,PC
Jackbox Party Pack 4,2016-10-17,"December 4, 2025",,81,Jackbox Games,Jackbox Games,PC
Universe for Sale,,"November 27, 2025",,,"Akupara Games, Tmesis Studio",Tmesis Studio,PC
Zoeti and Godzilla Voxel Wars,2023-04-20,"November 20, 2025",,,Akupara Games,"Dusklight CO, Dusklight CO.",PC
Scourgebringer,2/6/2020,"November 13, 2025",,,"Plug In Digital, Dear Villagers","Plug In Digital, Dear Villagers, Flying Oak Games, E-Studio",PC
Songs of Silence,2024-06-04,"November 13, 2025",,,Chimera Entertainment,Chimera Entertainment,PC
Zero Hour,2008-11-15,"November 13, 2025",,,"RESETgame, Attrito, M7 Productions","RESETgame, M7 Productions, Attrito",PC
Felix The Reaper,10/1/2019,"November 6, 2025",,69.0,Daedalic Entertainment,"Daedalic Entertainment, Kong Orange",PC
Bendy and the Ink Machine,2017-02-09,"October 30, 2025",,68,"Rooster Teeth Games, Joey Drew Studios, TheMeatly Games","Joey Drew Studios, Rooster Teeth Productions, TheMeatly Games",PC
Five Nights at Freddy's: Into the Pit,2024-08-07,"October 30, 2025",,,Mega Cat Studios,Mega Cat Studios,PC
Fear the Spotlight,2024-10-22,"October 23, 2025",,,Cozy Game Pals,Cozy Game Pals,PC
Amnesia: The Bunker,6/1/2023,"October 16, 2025",,77.0,Frictional Games,Frictional Games,PC
Samorost 3,3/1/2016,"October 16, 2025",,80.0,Amanita Design,Amanita Design,PC
Gravity Circuit,2023-07-13,"October 9, 2025",,89,"Plug In Digital, PID Games","Domesticated Ants, Domesticated Ant Games",PC
Nightingale,,"October 2, 2025",,,,Inflexion Games,PC
Eastern Exorcist,7/1/2021,"September 25, 2025",,73.0,bilibili,Wildfire Games,PC
Jorel’s Brother and The Most Important Game of the Galaxy,2023-06-14,"September 25, 2025",,,Double Dash Studios,"Double Dash Studios, Copa Studio",PC
Project Winter,2/1/2019,"September 18, 2025",,75.0,Other Ocean Group,Other Ocean Interactive,PC
Samorost 2,2005-12-08,"September 18, 2025",,,Amanita Design,Amanita Design,PC
Monument Valley 2,2017-05-30,"September 11, 2025",,85,ustwo games,ustwo games,PC
The Battle of Polytopia,2016-02-09,"September 11, 2025",,,Midjiwan,"Midjiwan, Felix af Ekenstam",PC
Monument Valley,2014-04-03,"September 4, 2025",,89,ustwo games,ustwo games,PC
Machinarium,10/1/2009,"August 28, 2025",,85.0,Amanita Design,Amanita Design,PC
Make Way,2023-12-04,"August 28, 2025",,,Secret Mode,Ice BEAM,PC
Kamaeru,2024-06-08,"August 21, 2025",,,Armor Games Studios,Humble Reeds,PC
Strange Horticulture,2022-01-20,"August 21, 2025",,,Iceberg Interactive,Bad Viking,PC
Hidden Folks,2017-02-14,"August 14, 2025",,78,Adriaan de Jongh,"Adriaan de Jongh, Sylvain Tegroeg",PC
112 Operator,2020-10-08,"August 7, 2025",,,"PlayWay, Games Operators","Jutsu Games, Games Operators",PC
Road Redemption,2014-07-01,"August 7, 2025",,67,Darkseas Games,"Saber Interactive, Tripwire Interactive, EQ Games, Pixel Dash Studios, Pixel Dash Studios, EQ",PC
Keylocker,2023-03-25,"July 31, 2025",,,,2ndSilver,PC
Pilgrims,2019-10-06,"July 31, 2025",,78,Amanita Design,Amanita Design,PC
Legion TD 2,2021-10-01,"July 24, 2025",,,AutoAttack Games,AutoAttack Games,PC
Sid Meier's Civilization 6: Platinum Edition,2016-10-20,"July 17, 2025",,88,"2K Games, Aspyr","Aspyr Media, Firaxis",PC
Figment 2: Creed Valley,3/1/2023,"July 10, 2025",,74.0,Bedtime Digital Games,Bedtime Digital Games,PC
Sky Racket,2019-06-05,"July 10, 2025",,,Double Dash Studios,Double Dash Studios,PC
Backpack Hero,2022-08-15,"July 3, 2025",,,"IndieArk, Different Tales, Jaspel",Jaspel,PC
The Operator,2024-07-22,"June 19, 2025",,,"indienova, Bureau 81",Bureau 81,PC
Two Point Hospital,4/1/2018,"June 12, 2025",,83.0,"SEGA, GAMESDROP","Two Point Studios, GAMESDROP",PC
Deathloop,9/1/2021,"June 5, 2025",,89.0,Bethesda Softworks,Arkane Studios,PC
Ogu and the Secret Forest,2023-03-23,"June 5, 2025",,,Sinkhole Studio,"Sinkhole Studio, Moonlab Studio",PC
Tiny Tina's Wonderlands,2022-03-25,"May 29, 2025",,,"2K Games, Gearbox Publishing",Gearbox Software,PC
Cat Quest 2,2019-09-23,"April 3, 2025",,77,"PQube, The Gentlebros Pte","The Gentlebros, The Gentlebros.",PC
Neko Ghost,2019-10-11,"Mar 27, 2025",,,Burgos Games,Burgos Games,PC
Jump!,2018-06-15,"Mar 27, 2025",,,,FireStormz,PC
Them's Fightin' Herds,2020-04-30,"Mar 6, 2025",,82,"Humble Bundle, Mane6",Mane6,PC
World War Z Aftermath,2021-09-21,"Feb 20, 2025",,,Saber Interactive,Saber Interactive,PC
Humankind,8/1/2021,"Feb 6, 2025",,78.0,SEGA,Amplitude Studios,PC
